track_id,mfcc,chroma,dom_key,contrast_mean,tempo,zero_crossing_rate,rms,spectral_bandwidth,genre
000002.mp3,"[-122.713936, 117.76008, -42.334175, 38.061, -23.012321, 23.92038, -11.944862, 13.687288, -7.294581, 4.041141, -4.8566036, -1.6612425, -6.306095]","[0.9537666, 0.6772475, 0.63576967, 0.56608194, 0.5922, 0.6507731, 0.5962417, 0.59447163, 0.46808773, 0.4844163, 0.5073132, 0.5848744]",0,21.30020341,166.7086694,0.098364466,0.14122495,3495.670407,Hip-Hop
000005.mp3,"[-162.23242, 131.43599, -18.426779, 51.63137, -15.444844, 23.860094, -7.8676634, 10.6862335, -0.31459138, 12.864646, -9.883205, 0.06410432, 0.76622707]","[0.5033748, 0.5700269, 0.48196226, 0.49077725, 0.55648655, 0.61638844, 0.6612082, 0.83085626, 0.7808936, 0.57539654, 0.4543885, 0.5142703]",1,21.0967213,99.38401442,0.0593342,0.14524296,3383.929025,Hip-Hop
000010.mp3,"[-75.63154, 154.53761, -63.849487, 22.506426, 2.4253588, 10.459981, -13.007332, 9.818939, -7.6407833, 3.136315, -5.8653193, 0.56130755, -8.277449]","[0.38227013, 0.65509427, 0.40731362, 0.5915444, 0.40733767, 0.5417437, 0.94594365, 0.66454095, 0.7106706, 0.58243036, 0.6262143, 0.52965397]",6,20.85217699,112.3471467,0.080989445,0.18665588,2895.759087,Pop
000140.mp3,"[-322.99786, 133.6849, 15.497438, 54.755615, 8.718211, 37.022747, -2.1164105, 15.265617, 6.1754766, -2.5992048, 8.86651, -2.2544298, 2.8581402]","[0.39412537, 0.27604023, 0.50949484, 0.24875276, 0.38404045, 0.47010186, 0.25826216, 0.3200515, 0.2916221, 0.32105356, 0.2907781, 0.17312431]",5,21.72745054,107.6660156,0.027255625,0.068458825,2927.964367,Folk
000141.mp3,"[-253.31456, 157.76938, -6.0816765, 26.920168, 6.8138433, 15.842272, -12.930041, 10.373277, -0.609945, -8.300909, 8.038183, -5.5658903, 2.9153304]","[0.26255083, 0.2074312, 0.3616265, 0.37178302, 0.29426956, 0.4688661, 0.2555594, 0.34477752, 0.2263454, 0.414166, 0.4950144, 0.2072293]",10,23.65480161,120.1853198,0.034119929,0.10085167,2358.308764,Folk
000148.mp3,"[-57.178944, 179.23718, -41.148636, 28.595451, 5.2721577, 26.492119, -1.0861632, 7.4089704, 4.066856, 8.892405, 0.05879326, 6.221765, 1.2079647]","[0.20344327, 0.25705397, 0.22758731, 0.23632756, 0.22027357, 0.31701517, 0.499735, 0.51675457, 0.40827882, 0.4651493, 0.22091478, 0.15557379]",6,19.65937437,120.1853198,0.046360622,0.47908017,2484.746764,Experimental
000182.mp3,"[-109.97605, 219.8887, -82.275826, 31.656075, 1.7832984, -22.88238, 25.862375, 2.6240268, 2.4918432, 14.979512, 7.6762285, 5.3210573, 10.860849]","[0.49467236, 0.42511243, 0.49226177, 0.54343075, 0.44384557, 0.5838447, 0.68763983, 0.6959664, 0.5342312, 0.5875599, 0.6221465, 0.46382508]",5,20.26452125,143.5546875,0.051493366,0.27465898,1785.941655,Rock
000190.mp3,"[-183.45798, 153.60577, -36.40665, 26.382322, -1.2991024, 2.862489, -11.369698, -13.557304, -10.5337105, -11.016889, -12.623339, -7.3969035, -10.581032]","[0.27571812, 0.16270669, 0.28255278, 0.1625321, 0.4779666, 0.30747536, 0.31431773, 0.36447626, 0.31894094, 0.38965684, 0.18496406, 0.28730765]",4,23.49639619,101.3327206,0.048014575,0.13189296,2953.878401,Folk
000193.mp3,"[-251.3536, 185.02835, -41.53623, 27.352703, 4.492658, -2.6957946, -1.2342027, -5.75713, -6.797386, -6.488481, -9.528712, -6.5597944, -7.80255]","[0.21678457, 0.45378637, 0.2862904, 0.4027781, 0.36469465, 0.2730726, 0.34423044, 0.1609315, 0.3178783, 0.28774872, 0.2889456, 0.3257678]",3,23.40147581,99.38401442,0.042049866,0.08284194,2319.399291,Folk
000194.mp3,"[-235.6932, 181.2523, -38.292927, 26.093527, 1.2507677, 0.91750747, -2.6399736, -6.7304354, -3.3668106, -8.183657, -9.518035, -6.756957, -7.9659724]","[0.2569665, 0.36826262, 0.4129784, 0.17743951, 0.43141353, 0.37052745, 0.20789152, 0.2847253, 0.24525137, 0.50047696, 0.20671076, 0.28774297]",9,24.35803089,101.3327206,0.037929914,0.0957706,2158.585687,Folk
000197.mp3,"[-330.43475, 158.03885, 1.4201877, 4.7517095, 9.747272, -2.4701335, -5.2752476, -6.0360737, -4.6973233, -6.0592217, -6.6983376, -5.6719236, -5.9007416]","[0.48356584, 0.1177801, 0.48361656, 0.110021085, 0.39928964, 0.3720357, 0.13282505, 0.19890201, 0.10785172, 0.35128757, 0.08611648, 0.29919007]",0,21.86874688,117.4538352,0.027528699,0.045262296,1908.861114,Folk
000200.mp3,"[-173.46313, 164.03673, -45.321022, 30.77496, 9.586882, -2.994862, -4.8371572, -6.010944, -6.069046, -4.7826724, -5.6235747, -7.775161, -10.800137]","[0.4591178, 0.2897193, 0.5542975, 0.1872792, 0.6002727, 0.2281312, 0.3117317, 0.44504812, 0.2447711, 0.43063867, 0.23291706, 0.36973807]",4,23.77291368,99.38401442,0.052143975,0.11995845,2288.3845,Folk
000203.mp3,"[-311.8574, 161.94849, 1.9598299, 20.648767, -5.548233, -12.314778, -19.70198, -14.929055, -12.67025, -15.79702, -18.113216, -12.643383, -14.357355]","[0.28212753, 0.321481, 0.3003468, 0.24042365, 0.3601796, 0.22806497, 0.36348328, 0.16158369, 0.11243392, 0.50424796, 0.333478, 0.3592759]",9,21.58729204,129.1992188,0.02705914,0.08668448,2699.851978,Folk
000204.mp3,"[-206.41794, 162.44835, -13.156395, 12.7404995, 0.7308481, 14.560724, -9.86646, -6.118894, -12.568273, -11.321271, -10.43976, -6.7859354, -10.332553]","[0.19111179, 0.36818162, 0.46110708, 0.1924559, 0.262503, 0.26996303, 0.5557995, 0.36575776, 0.24461302, 0.4783483, 0.18949033, 0.36311087]",6,20.64153863,109.9567819,0.044074853,0.11675491,3158.913513,Folk
000207.mp3,"[-396.81244, 119.806206, 10.3948965, 6.3332973, 1.9160094, -7.951346, -8.740448, -7.4846134, -4.7759933, -4.9402885, -4.5164595, -1.9545503, -1.3192558]","[0.2427918, 0.20563643, 0.26890752, 0.13797449, 0.3361601, 0.24406666, 0.19918106, 0.27800024, 0.15141836, 0.22839178, 0.19435683, 0.4670231]",11,21.97395712,126.0480183,0.033870493,0.046672147,2622.735299,Folk
000210.mp3,"[-155.12373, 167.90457, -39.960293, 20.500843, -7.0097847, 7.025798, -9.888201, -5.3458714, -3.5843825, -6.3794746, -10.456493, -6.682202, -9.563153]","[0.17547877, 0.57067275, 0.489842, 0.19635913, 0.35599607, 0.2545139, 0.471144, 0.28808406, 0.24106757, 0.47551954, 0.15417661, 0.29914626]",1,23.24266112,120.1853198,0.045353489,0.14541696,2613.321758,Folk
000211.mp3,"[-180.64171, 182.83743, -36.835552, 13.958798, 0.06842154, -5.7962832, -11.514059, -8.373258, -11.4852, -12.368464, -16.222168, -10.375202, -9.571686]","[0.3014766, 0.27485174, 0.7147174, 0.34250292, 0.33720767, 0.31768554, 0.56053615, 0.4227963, 0.26233613, 0.32644597, 0.22418576, 0.35862252]",2,23.17126076,99.38401442,0.041404624,0.13741554,2283.305876,Folk
000212.mp3,"[-165.81697, 158.74358, -17.908636, 41.453533, -13.729248, 24.61067, -7.8926644, -0.5496023, 7.199326, -12.72552, 2.1482177, -8.980668, 2.9336536]","[0.2712426, 0.26208985, 0.642006, 0.3011921, 0.40486798, 0.2903216, 0.40464655, 0.5232904, 0.27595145, 0.3361953, 0.27206063, 0.41375628]",2,21.9942869,99.38401442,0.063539158,0.11085054,3403.11443,Folk
000213.mp3,"[-305.0651, 191.81038, 11.594771, 7.3278027, 5.8365684, 10.055385, -12.556233, -10.391507, 1.3965343, -3.0436468, -4.1880355, -8.247923, -5.7644596]","[0.24735, 0.27379063, 0.58844286, 0.20331259, 0.34581587, 0.4031639, 0.756429, 0.18961558, 0.3107558, 0.78574127, 0.20791118, 0.43557906]",6,23.52707385,143.5546875,0.028162028,0.067572966,1916.057963,Pop
000255.mp3,"[-207.44205, 215.43854, -23.800169, 20.622465, -5.7394094, 0.58984846, 6.398925, -3.2679589, -2.142825, -4.535316, -3.6032686, -3.7548575, 0.5781208]","[0.4616371, 0.7623539, 0.6081423, 0.43520308, 0.39211312, 0.4411023, 0.47704273, 0.5011946, 0.7700121, 0.67042583, 0.46175525, 0.41271865]",9,20.76910374,123.046875,0.030602677,0.14222503,1708.319805,Rock
000256.mp3,"[-33.06046, 158.66603, -55.736843, 34.215523, 0.4729461, 22.197708, -13.9295635, 13.152492, -5.3233504, 12.844653, -1.973446, 4.250262, -0.12474673]","[0.52883965, 0.53544486, 0.6506329, 0.6623568, 0.5508059, 0.56014395, 0.62513894, 0.76919186, 0.76191753, 0.8045103, 0.7577359, 0.56172174]",2,19.04923694,123.046875,0.064516288,0.28620747,3034.585923,Rock
